date,TEMP,DEWP,SLP,WDSP,MAX,MIN,PRCP,co_24h,no2_24h,o3_24h,pm10_24h,pm25_24h,so2_24h,AQI,TEMP_DIFF,PRCP_BINARY,AQI_lag1,pm25_24h_lag1,pm10_24h_lag1,o3_24h_lag1,co_24h_lag1,no2_24h_lag1,so2_24h_lag1,TEMP_lag1,TEMP_lag2,DEWP_lag1,DEWP_lag2,SLP_lag1,SLP_lag2,WDSP_lag1,WDSP_lag2,MAX_lag1,MAX_lag2,MIN_lag1,MIN_lag2,PRCP_lag1,PRCP_lag2,TEMP_DIFF_lag1,TEMP_DIFF_lag2,PRCP_BINARY_lag1,PRCP_BINARY_lag2
2024-01-24,41.9,38.6,1013.5,3.4,46.9,30.9,0.02,0.2583333333333333,0.0131374999999999,0.0159583333333333,11.041666666666666,6.358333333333333,0.0,35,16.0,1,30.0,5.3125,12.708333333333334,0.0146249999999999,0.2791666666666667,0.0142874999999999,0.0,40.1,43.2,34.4,35.2,1012.0,1012.1,4.1,2.9,51.1,51.1,30.9,37.9,0.02,0.0,20.200000000000003,13.200000000000003,1.0,0.0
2024-01-25,39.9,35.2,1016.2,3.5,46.9,35.1,0.03,0.2333333333333333,0.0143874999999999,0.0177083333333333,7.958333333333333,4.083333333333333,0.0,23,11.799999999999997,1,35.0,6.358333333333333,11.041666666666666,0.0159583333333333,0.2583333333333333,0.0131374999999999,0.0,41.9,40.1,38.6,34.4,1013.5,1012.0,3.4,4.1,46.9,51.1,30.9,30.9,0.02,0.02,16.0,20.200000000000003,1.0,1.0
2024-01-26,40.8,34.7,1016.0,4.3,50.0,35.1,0.03,0.1875,0.0088208333333333,0.0260833333333333,7.083333333333333,3.5708333333333333,0.0,24,14.899999999999999,1,23.0,4.083333333333333,7.958333333333333,0.0177083333333333,0.2333333333333333,0.0143874999999999,0.0,39.9,41.9,35.2,38.6,1016.2,1013.5,3.5,3.4,46.9,46.9,35.1,30.9,0.03,0.02,11.799999999999997,16.0,1.0,1.0
2024-01-27,40.9,29.3,1027.2,3.8,53.1,30.0,0.0,0.2739130434782608,0.014295652173913,0.0210434782608695,13.0,6.217391304347826,0.0,35,23.1,0,24.0,3.5708333333333333,7.083333333333333,0.0260833333333333,0.1875,0.0088208333333333,0.0,40.8,39.9,34.7,35.2,1016.0,1016.2,4.3,3.5,50.0,46.9,35.1,35.1,0.03,0.03,14.899999999999999,11.799999999999997,1.0,1.0
2024-01-28,39.4,23.8,1029.3,2.8,54.0,27.0,0.0,0.3590909090909091,0.0187842105263157,0.019090909090909,14.041666666666666,7.6625,0.0,43,27.0,0,35.0,6.217391304347826,13.0,0.0210434782608695,0.2739130434782608,0.014295652173913,0.0,40.9,40.8,29.3,34.7,1027.2,1016.0,3.8,4.3,53.1,50.0,30.0,35.1,0.0,0.03,23.1,14.899999999999999,0.0,1.0
2024-01-29,41.3,24.8,1027.7,2.7,59.0,27.0,0.0,0.35,0.0235416666666666,0.0159166666666666,20.20833333333333,6.354166666666667,0.0,35,32.0,0,43.0,7.6625,14.041666666666666,0.019090909090909,0.3590909090909091,0.0187842105263157,0.0,39.4,40.9,23.8,29.3,1029.3,1027.2,2.8,3.8,54.0,53.1,27.0,30.0,0.0,0.0,27.0,23.1,0.0,0.0
2024-01-30,45.3,24.2,1024.1,4.4,61.0,27.0,0.0,0.23,0.0163374999999999,0.0214166666666666,17.041666666666668,5.1625000000000005,0.0,29,34.0,0,35.0,6.354166666666667,20.20833333333333,0.0159166666666666,0.35,0.0235416666666666,0.0,41.3,39.4,24.8,23.8,1027.7,1029.3,2.7,2.8,59.0,54.0,27.0,27.0,0.0,0.0,32.0,27.0,0.0,0.0
2024-01-31,45.8,25.9,1021.6,3.4,61.0,35.1,0.0,0.18,0.013435294117647,0.0204117647058823,16.9375,4.05,0.0,22,25.9,0,29.0,5.1625000000000005,17.041666666666668,0.0214166666666666,0.23,0.0163374999999999,0.0,45.3,41.3,24.2,24.8,1024.1,1027.7,4.4,2.7,61.0,59.0,27.0,27.0,0.0,0.0,34.0,32.0,0.0,0.0
2024-02-01,46.0,34.5,1015.9,4.2,61.0,35.1,0.0,0.1833333333333333,0.00695,0.02975,9.25,2.766666666666667,0.0,28,25.9,0,22.0,4.05,16.9375,0.0204117647058823,0.18,0.013435294117647,0.0,45.8,45.3,25.9,24.2,1021.6,1024.1,3.4,4.4,61.0,61.0,35.1,27.0,0.0,0.0,25.9,34.0,0.0,0.0
2024-02-02,47.9,34.7,1004.4,9.4,61.0,35.1,0.0,0.1708333333333333,0.0064083333333333,0.0319583333333333,6.5,1.6208333333333331,0.0,30,25.9,0,28.0,2.766666666666667,9.25,0.02975,0.1833333333333333,0.00695,0.0,46.0,45.8,34.5,25.9,1015.9,1021.6,4.2,3.4,61.0,61.0,35.1,35.1,0.0,0.0,25.9,25.9,0.0,0.0
2024-02-03,41.1,23.1,1002.9,11.6,52.0,36.0,0.01,0.2,0.0060799999999999,0.0352857142857142,12.066666666666666,1.8066666666666669,0.0,33,16.0,1,30.0,1.6208333333333331,6.5,0.0319583333333333,0.1708333333333333,0.0064083333333333,0.0,47.9,46.0,34.7,34.5,1004.4,1015.9,9.4,4.2,61.0,61.0,35.1,35.1,0.0,0.0,25.9,25.9,0.0,0.0
