"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72365023050","2024-01-31","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  45.8","24","  25.9","24","1021.6","24","842.1","24"," 10.0","24","  3.4","24","  9.9","999.9","  61.0"," ","  35.1"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-01","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  46.0","24","  34.5","24","1015.9","24","837.4","24"," 10.0","24","  4.2","24","  8.9","999.9","  61.0"," ","  35.1"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-02","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  47.9","24","  34.7","24","1004.4","24","828.4","24","  9.8","24","  9.4","24"," 26.0"," 35.0","  61.0"," ","  35.1"," "," 0.00","G","999.9","010000"
"72365023050","2024-02-03","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  41.1","24","  23.1","24","1002.9","24","826.0","24"," 10.0","24"," 11.6","24"," 26.0"," 38.1","  52.0"," ","  36.0"," "," 0.01","G","999.9","000000"
"72365023050","2024-02-04","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  40.5","24","  15.6","24","1013.1","24","834.2","24"," 10.0","24"," 11.2","24"," 26.0"," 31.1","  51.1"," ","  27.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-05","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  40.1","24","  16.9","24","1021.6","24","841.0","24"," 10.0","24","  5.2","24"," 13.0"," 19.0","  55.9"," ","  27.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-06","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  45.2","24","  24.0","24","1016.1","24","837.2","24"," 10.0","24","  3.5","24","  8.9","999.9","  55.9"," ","  27.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-07","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  46.6","24","  32.3","24","1006.7","22","830.1","24"," 10.0","24"," 12.4","24"," 22.9"," 35.0","  55.9"," ","  37.0"," "," 0.00","G","999.9","011100"
"72365023050","2024-02-08","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  40.1","24","  22.1","24","1011.4","24","832.8","24"," 10.0","24","  9.1","24"," 18.1"," 28.0","  50.0"," ","  35.1"," "," 0.07","G","999.9","000000"
"72365023050","2024-02-09","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  37.5","24","  17.9","24","1013.1","24","833.8","24"," 10.0","24","  6.4","24"," 14.0"," 22.0","  48.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-10","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  35.7","24","  21.8","24","1010.3","19","830.8","24","  8.2","24","  5.3","24"," 11.1"," 14.0","  46.0"," ","  24.1"," "," 0.00","G","999.9","111000"
"72365023050","2024-02-11","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  33.3","24","  23.6","24","1014.3","24","833.4","24"," 10.0","24","  8.4","24"," 14.0"," 22.9","  43.0"," ","  28.0"," "," 0.33","G","  1.2","000000"
"72365023050","2024-02-12","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  34.6","24","  19.6","24","1020.9","24","839.2","24"," 10.0","24","  4.1","24"," 14.0"," 17.1","  48.0"," ","  24.1"," "," 0.00","G","  1.2","000000"
"72365023050","2024-02-13","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  38.6","24","  20.3","24","1018.9","24","838.2","24"," 10.0","24","  2.7","24","  7.0","999.9","  55.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-14","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  42.6","24","  19.3","24","1016.2","24","836.8","24"," 10.0","24","  6.0","24"," 15.0"," 27.0","  59.0"," ","  25.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-15","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  43.3","24","  16.9","24","1019.7","24","840.0","24"," 10.0","24","  5.4","24"," 15.0"," 18.1","  60.1"," ","  28.9"," "," 0.00","G","999.9","000000"
